,Title,Location,Security,Garage,Concierge,Description,Price
0,Appartement de luxe en Vente Haut Agdal,"Haut Agdal à
				Rabat",0,0,0,"255
					m²//6 Pièces//3 Chambres//3 Salles de bains//Bon état//10-20 ans//255
					m²//6 Pièces//3 Chambres//3 Salles de bains//Bon état//10-20 ans//",4 207 500 DH
1,Appartement à vendre au RDC,"Agdal à
				Rabat",0,0,0,"196
					m²//6 Pièces//3 Chambres//2 Salles de bains//Bon état//10-20 ans//196
					m²//6 Pièces//3 Chambres//2 Salles de bains//Bon état//10-20 ans//",3 900 000 DH
2,"Appartement de 99m² avec terrasse en vente, Résidence Aicha","Kébibat à
				Rabat",0,0,0,"99
					m²//3 Pièces//2 Chambres//2 Salles de bains//99
					m²//3 Pièces//2 Chambres//2 Salles de bains//Haut standing//Finalisé//Livraison:
							mars 2022//",
3,Vente Appartement Rabat Hay Riad,"Riyad à
				Rabat",0,0,0,"130
					m²//5 Pièces//3 Chambres//1 Salle de bain//Bon état//5ème
					étage//130
					m²//5 Pièces//3 Chambres//1 Salle de bain//Bon état//5ème
					étage//",2 500 000 DH
4,Penthouse à vendre à L'orangeraie Souissi 340m2,"Souissi à
				Rabat",0,0,0,"340
					m²//5 Pièces//4 Chambres//3 Salles de bains//Bon état//5-10 ans//4ème
					étage//340
					m²//5 Pièces//4 Chambres//3 Salles de bains//Bon état//5-10 ans//4ème
					étage//",6 500 000 DH
5,Appartement de 152 m² à Rabat Square,"Souissi à
				Rabat",0,0,0,"152
					m²//2 Pièces//2 Chambres//2 Salles de bains//Nouveau//Moins d'un an//1er
					étage//152
					m²//2 Pièces//2 Chambres//2 Salles de bains//Nouveau//Moins d'un an//1er
					étage//Haut standing//En cours de construction//",4 102 000 DH
6,Somptueuse Villa moderne de 2 façades secteur 24,"Riyad à
				Rabat",0,0,0,"670
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//10-20 ans//670
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//10-20 ans//",9 000 000 DH
7,Jolie villa à cote palais imarati,"Souissi à
				Rabat",0,0,0,"2000
					m²//9 Pièces//6 Chambres//6 Salles de bains//Bon état//10-20 ans//2000
					m²//9 Pièces//6 Chambres//6 Salles de bains//Bon état//10-20 ans//",11 000 000 DH
8,,,0,0,0,,
9,Ancienne villa à côté avenue Al Melia prix choc,"Souissi à
				Rabat",0,0,0,"2200
					m²//8 Pièces//5 Chambres//4 Salles de bains//À rénover//20-30 ans//2200
					m²//8 Pièces//5 Chambres//4 Salles de bains//À rénover//20-30 ans//",11 000 000 DH
10,Votre villa de luxe a rabat,"Hay El Menzah à
				Rabat",0,0,0,"560
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//Moins d'un an//560
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//Moins d'un an//",5 700 000 DH
11,Superbe appartement à vendre à Agdal. 4 chambres. Ascenseur,"Agdal à
				Rabat",0,0,0,"200
					m²//5 Pièces//4 Chambres//2 Salles de bains//À rénover//20-30 ans//2ème
					étage//200
					m²//5 Pièces//4 Chambres//2 Salles de bains//À rénover//20-30 ans//2ème
					étage//",3 800 000 DH
12,Appartement de 95 m² en vente à Rabat Square,"Souissi à
				Rabat",0,0,0,"80
					m²//2 Pièces//1 Chambre//2 Salles de bains//Nouveau//Moins d'un an//80
					m²//2 Pièces//1 Chambre//2 Salles de bains//Nouveau//Moins d'un an//Haut standing//En cours de construction//",2 836 000 DH
13,Riad à vendre vue panoramique,"Médina à
				Rabat",0,0,0,"744
					m²//8 Pièces//3 Chambres//3 Salles de bains//Nouveau//Moins d'un an//744
					m²//8 Pièces//3 Chambres//3 Salles de bains//Nouveau//Moins d'un an//",6 750 000 DH
14,Vente Appartement Rabat Hay Riad,"Riyad à
				Rabat",0,0,0,"236
					m²//6 Pièces//3 Chambres//1 Salle de bain//6ème
					étage//236
					m²//6 Pièces//3 Chambres//1 Salle de bain//6ème
					étage//",4 700 000 DH
15,Appartement de 68 m² à Rabat Square,"Souissi à
				Rabat",0,0,0,"68
					m²//1 Pièce//1 Chambre//1 Salle de bain//Nouveau//Moins d'un an//1er
					étage//68
					m²//1 Pièce//1 Chambre//1 Salle de bain//Nouveau//Moins d'un an//1er
					étage//Haut standing//En cours de construction//",1 872 000 DH
16,Bel appartement avenue nakhil,"Riyad à
				Rabat",0,0,0,"149
					m²//6 Pièces//3 Chambres//4 Salles de bains//Nouveau//10-20 ans//149
					m²//6 Pièces//3 Chambres//4 Salles de bains//Nouveau//10-20 ans//",3 000 000 DH
17,Un très joli appartement à agdal avenue ibn sina,"Agdal à
				Rabat",0,0,0,"200
					m²//6 Pièces//4 Chambres//2 Salles de bains//Bon état//5-10 ans//2ème
					étage//200
					m²//6 Pièces//4 Chambres//2 Salles de bains//Bon état//5-10 ans//2ème
					étage//",3 400 000 DH
18,Appartement de 84 m² à Rabat Square,"Souissi à
				Rabat",0,0,0,"84
					m²//1 Pièce//1 Chambre//2 Salles de bains//Nouveau//Moins d'un an//1er
					étage//84
					m²//1 Pièce//1 Chambre//2 Salles de bains//Nouveau//Moins d'un an//1er
					étage//Haut standing//En cours de construction//",1 939 000 DH
